,address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
419,"Dreams Palm Beach Resort, Umtta Vaddo, Near Calangute Beach, Bardez",Calangute Area,Goa,73,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.","Airport Transfer Available / Surcharge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Local Tour / Travel Desk|Luggage Storage|Power Backup|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Room Service (24 Hours)|Parking (Surcharge)|Guide / Sightseeing Service|Parking Facility|Internet Access|Room Service|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Paid Transfers",15.54499213,Calangute Area,73.75765989,HTLGBO1000043812,Dreams Palm Beach Resort,Hotel,Goa,15,SUPER DELUXE ROOM,146,3.5,Goa,0381d945084df67e6152d7b9a66d35a5
780,"6 - Number Road,Mele Arrapetta, Meppadi, Wayanad",Meppadi,Wayanad,66,The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Power Backup|Transfers Available|Internet Access Free|Room Service (24 Hours)|Room Service|Porter Services Available|Public Restrooms,11.5549739,Meppadi,76.1348944,HTLGBO1000021072,Brook Streak Resort,Resort,Wayanad,2,Wooden Cottage,3,5.0,Kerala,0bd0c6b367fe9b54d532c8c855e7aafa
2207,"Village Anandpur PO Shoghi,Tehsil Distt Shimla HP",Shoghi,Shimla,89,"The standard check-in time is 01:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Arrival / Departure policy:- C/in- 1400 Hours, C/out- 1200 Hours Early c/in and late c/out available on request. INR 7,000/- pr cpl is collected by hotel Its compulsory for Gala Charges on 25 and 31 Dec , C/out on 25 and 31 Dec not allowed.","Airport Transfer Available / Surcharge|Bar / Lounge |Billiards|Business Center |Concierge|Doctor on Call|Games Zone|Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Table Tennis|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Catering|Multi Lingual Staff|Wake-up Call / Service|Sauna|Suitable For Children|Separate Sitting Area|Conference Facility |Smoking Rooms|Kitchen available (home cook food on request)|Free Local Calls|Picnic Area|Jacuzzi|Pool Table|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|Taxi Services|Board Room|Pool Cafe|Campfire / Bon Fire|Rooftop Garden|Food Facility| Drivers Rest Room|Newspapers In Lobby|Postal / Parcel Services|Family Room|Spa Services Nearby| Cook Services|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Porter Services Available|Public Restrooms|Suites",31.0437822,Shoghi,77.1623566,HTLGBO1000008721,Woodsmoke Resort and Spa,Resort,Shimla,21,Deluxe Suite,37,4.5,Himachal Pradesh,188e4e608bf3e27a0d8288c4e56f6d55
1872,"Kankuri Road , Opp. Vitthala Rukmini Temple, Shirdi. Tal - Ratata Dist - Ahmednagar.(423109)",Temple Area,Shirdi,67,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1.ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. 2.The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. 3.Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. No refund would be applicable in case the hotel denies check-in under such circumstances.","Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Locker Facility|Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Power Backup|Smoking Rooms|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Veranda|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Air / Rail Booking|Baggage Room|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fire Safety|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Paid Transfers|Security at All Hotel Entrances|Suites",19.7652045,Temple Area,74.4728945,HTLGBO1000082162,HOTEL SAI SURAJ PARK,Hotel,Shirdi,27,Double Bed Non A/c,58,3.8,Maharashtra,ecedc49d76bc23494656a4376938f023
2130,"P.O. Gutkar, Mandi",P.O. Gutkar,Mandi,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|Express Check-In / Check-Out|Car Rental|Taxi Services|Internet Access Free|Room Service (24 Hours),31.68358965,P.O. Gutkar,76.94456943,HTLGBO1000007303,Visco Resorts (Pure Veg.),Hotel,Mandi,3,Super Deluxe Room,1,2.0,Himachal Pradesh,cf79518651cf31e26172f3c6d864941b
1570,"Mehtab House, Magarmal bagh Chowk, Srinagar",Zero Bridge,Srinagar,92,"The standard check-in time is 01:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel. Note- PAN Cards will not be accepted as a valid ID card.",Lobby|Parking Facilities Available|Front Desk|Power Backup|Gardens|Kitchen available (home cook food on request)|Nature Walk|Horse Ride ( Chargeable ) |Food Facility|Room Service (24 Hours),34.0836581,Zero Bridge,74.7973681,HTLGBO1000011420,UNA Homestay SheenWynds,Homestay,Srinagar,3,Deluxe,13,5.0,Jammu and Kashmir,250eea4c61aa7646c85934b170982bf6
885,"Middle pelling,West Sikkim",Middle Pelling,Pelling,74,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Food Facility|Parking Facility|Room Service|Speciality Restaurant,27.3019861,Middle Pelling,88.2383218,HTLGBO1000020298,De Regency,Hotel,Pelling,24,Super Deluxe,50,4.1,Sikkim,bd5681e68448bccae20a8a49c3eb27b7
2279,"VIJAY PARADISE, MAIN RING ROAD,VIKAS NAGAR ,LUCKNOW-226022",Indira Nagar,Lucknow,85,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel Check In-13.00 Hours Hotel Check Out -12.00 Hours Early check In subject to availability. Late check out are available on guest request as per availability.,Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,26.8984445,Indira Nagar,80.9672173,HTLGBO1000060976,VIJAY PARADISE,Hotel,Lucknow,19,EXECUTIVE CLUB Room,68,4.3,Uttar Pradesh,80a4a8ff53caf1340db85a43754951e4
478,"29-30 Saraswati Kunj - Sector 54, Golf Course Road , Gurgoan  (Next to Vatika Towers)",Golf Course Road,Gurgaon,81,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.  The hotel reserves the right of admission for local residents.,Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Conference Facility |Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,28.4391541,Golf Course Road,77.1047548,HTLGBO1000012083,Elevate Residency,Hotel,Gurgaon,26,Deluxe room,100,3.8,Haryana,1549dd44854ac3b72dea8f2d16204be3
1812,"Airport Road, Ahmedabad - 382475","Airport Zone, Hansol",Ahmedabad,85,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid id proof is required. unmarried couples are not allowed.,Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,23.07958603,"Airport Zone, Hansol",72.61775208,HTLGBO1000033984,Hotel RJ Residency,Hotel,Ahmedabad,8,Deluxe Room,21,4.0,Gujarat,f1278aafcfb496aa1465374cfea2c847
257,"Amaravathy P.O.,Kumily, Thekkady,Idukki District",Kumily,Thekkady,100,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. It is mandatory for guests to present valid photo identification at the time of check-in. According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel. The identification proofs accepted are Driving License, Voter ID Card, and Passport. Without valid ID the guest will not be allowed to check-in. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Power Backup|Fire Place Available |Parking Facility|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,9.6031088,Kumily,77.161458,HTLGBO1000048988,Dean Dale Cottage,Homestay,Thekkady,7,Budget Room,1,2.0,Kerala,bb4880c20c6fb84f90e67821f31f82db
549,"Plot 177 - P ,Sector 38, Near Medanta (Medicity)",Sector 38,Gurgaon,28,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Airport Transfer Available / Surcharge|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Night Club|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Solarium|Valet service|Hookah Lounge|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Coffee Shop / Cafe|Conference Facility |Fax Machine|Kitchen available (home cook food on request)|Discotheque |Veranda|Open Air Restaurant / Dining | Bike on Rent|Veg / Non Veg Kitchens Separate |Horse Ride ( Chargeable ) |Vegetarian Food / Jain Food Available|Mini Theatre|Board Room|Pool Cafe|Food Facility|Internet Access Free|Newspapers In Lobby|Whirlpool Bath / Shower Cubicle|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,28.43642201,Sector 38,77.04335495,HTLGBO1000004892,Spring Leaves Residency By Royal Collection Hotels,Hotel,Gurgaon,15,Deluxe Room,7,2.1,Haryana,740557602e4f4b3cbc05fa8fb0ea2039
274,"285-286 Millennium City Center, Sector 29, Gurgaon",Sector 29,Gurgaon,80,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 2 pieces Ironing per night. It is compulsory to give the Aadhar card or Driving license or Passport or Election card as a valid proof. PAN Card will NOT be considered as valid identity proof. Cancel before 48 hours in order to avoid any retention charges. If cancelled within 48 hours, 1 night retention to be charged. No refunds would be made against any No Shows. Extra Child (5-12 years without bed) wiil be chargeble.  Extra Child (below 5 years) will be Complimentary","Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD",28.46508911,Sector 29,77.06493884,HTLGBO1000000036,Citrus Hotels Gurgaon Central,Hotel,Gurgaon,44,Superior Room,94,4.1,Haryana,40a3f1fb32001d90109855cfc2fa887a
406,"B-1/55 F, Vineet Khand, Next to Mr. Brown Bakery. Gomtinagar, Lucknow.",Gomti Nagar,Lucknow,72,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in and Check out - 12 Noon.,Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Conference Facility |Veranda|Internet Access Free|Room Service (24 Hours)|Party hall|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,26.8532093,Gomti Nagar,81.0176685,HTLGBO1000010339,Edesia,Hotel,Lucknow,11,Deluxe Room A/C,37,3.2,Uttar Pradesh,f76fa975cdc5cc2277dee4cd85fade2f
1855,"2724 / C,Bangalore - Nilgiri Road Opp. Woodlands Theatre",Bus Stand/Railway Station Area,Mysore,88,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Special Note: There maybe supplementary charges for Xmas and New Year as per hotel policy, kindly pay the supplementary charges directly at the hotel..",Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Catering|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Fax Machine|Kitchen available (home cook food on request)|Massage Services |Smoking Area |Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|Board Room|Rooftop Garden|Food Facility|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Spa Services Nearby|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|Anti-Slip Ramps|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Pest Control Facility|Public Restrooms|Security at All Hotel Entrances,12.30844449,Bus Stand/Railway Station Area,76.65964984,HTLGBO1000002803,Hotel Roopa,Hotel,Mysore,78,Deluxe  Non A/c,343,4.2,Karnataka,caf486eedc9d64f42a9d1127e9a36baf
492,"Ayarpatta Hills, Nainital, Uttarakhand, India",Ayarpatta,Nainital,80,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No pets allowed.  Guest need to carry confirmation voucher and valid ID proof during check in.,Parking Facilities Available|Gardens|Parking Facility,29.3844306,Ayarpatta,79.456325,HTLGBO1000012701,Emily Cottage by Traveller's Paradise,Cottage,Nainital,15,Heritage Deluxe room,45,3.9,Uttarakhand,426ca7944147b09d1f3ea9603858c388
649,1st floor  new york trade center b  opp dominoz pizza thaltej 4 rasta sg road .near udipi restaurant,S.G. Road,Ahmedabad,86,The standard check-in time is 11:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time of check in for all guests.,Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Wake-up Call / Service|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours),23.05311925,S.G. Road,72.51930042,HTLGBO1000041404,SRI BALAJI RESIDENCY(SBR),Hotel,Ahmedabad,16,Deluxe Room,155,4.3,Gujarat,a8880780ac639a86d046dfe16806e5d5
2024,"Kasauli road Dharampur,Solan,Distt Solan",Dharampur,Kasauli,78,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Customer will pay 18.70% tax at the time of check in. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Business Center |Doctor on Call|Games Zone|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|Welcome Drinks|Power Backup|Audio - Visual Equipment|Wedding Services Facility|Conference Facility |Wheelchair Accessibility - Room|Taxi Services|Board Room|Karaoke | Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Baggage Room|Parking Facility|Internet Access|Room Service|Trekking|Fire Safety|CCTV|Pest Control Facility|Public Restrooms|Speciality Restaurant |Suites,30.90084248,Dharampur,77.00542666,HTLGBO1000002947,Hotel Shivalik,Hotel,Kasauli,78,Deluxe Room,76,3.8,Himachal Pradesh,df899045f9d6a0e101badecb65c4ba6b
332,"29-49 Baikey road, Off Ettinnes Road Ooty",Race Course Area,Ooty,72,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant,11.40160677,Race Course Area,76.69683338,HTLGBO1000002225,Club Mahindra Derby Green,Resort,Ooty,94,Hotel Unit (Superior Room),55,3.8,Tamil Nadu,83a08ffe62aea4889337dd81728cc340
1219,"8 Queen's Road, Amritsar",Golden Temple Area,Amritsar,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  unmarried couple not allowed in room . every customer have i d card compulsory.pet animal not allowed in hotel. complimentary breakfast time 7:00 am to 10 :00 am,Airport Transfer Available / Surcharge|Ballroom|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Wake-up Call / Service|Conference Facility |Smoking Rooms|Fax Machine|Free Local Calls|Massage Services |Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Restaurant|Room Service,31.6351235,Golden Temple Area,74.8720223,HTLGBO1000028742,HOTEL POPULAR,Hotel,Amritsar,29,Deluxe Room,82,4.4,Punjab,c5e8b808c0c6acc5da079009d3d3c61c
1868,"Station Road, Kapasia Bazar, Near Hotel Moti Mahal, Kalupur, Ahmedabad, Gujarat 380002",Ring Road,Ahmedabad,82,The standard check-in time is 11:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time of check in for all guest. Hotel may complimentary pick up from airport or railway station.Drop will be chargeable.argecompulsory  gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Bar / Lounge |Business Center |Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Doorman|Welcome Drinks|Power Backup|Audio - Visual Equipment|Wake-up Call / Service|Conference Facility |Picnic Area|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Party hall|Baggage Room|Parking Facility,23.02924671,Ring Road,72.59947333,HTLGBO1000001183,Hotel Ritz Inn,Hotel,Ahmedabad,49,Deluxe Room,152,4.3,Gujarat,df011999b5bc44841b8271fa7c176302
2037,"Barah Pathar Khajjiar Road, Dalhousie.",Khajjiar Road,Dalhousie,0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Pets are not allowed. Valid Photo ID required for check-in,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Multi Cuisine Restaurant |Room Service (24 Hours),32.5313287,Khajjiar Road,76.0011991,HTLGBO1000012106,Hotel Satyam International,Hotel,Dalhousie,9,Deluxe Room,2,3.1,Himachal Pradesh,c6baf38db555ce78c2ce7f5b2d3efb88
635,"19/5, East Muniappan Kovil Street, salem-namakkal main road Tiruchengode Nammakkal(DT),",Anna Statue Area,Tiruchengode,85,"The standard check-in time is 11:00 PM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No Show, Cancellation charges will be Non-Refundable . If You cancel your Hotel booking within 48 hrs of checkin, Cancellation charges will be 1 Night Cost. If You cancel your Hotel booking post 48 hours",Banquet Facilities|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Electronic / Magnetic Keys|Picnic Area|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Paid Transfers|Pest Control Facility|Porter Services Available|Public Restrooms|Suites,11.38328793,Anna Statue Area,77.89879676,HTLGBO1000052152,Sri Balaji Hotels,Hotel,Tiruchengode,11,Double Deluxe A/C,7,3.9,Tamil Nadu,827b9e4681dabe4f5c6c49ad8b898f44
162,"Near Government Degree College,Hamirpur",New Road,Hamirpur,88,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Pets are not allowed. Valid Photo ID required for check-in,"Banquet Facilities|Bar / Lounge |Doctor on Call|Gift Shop |Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|Luggage Storage|Air-Conditioning - Central|Audio - Visual Equipment|Wedding Services Facility|Catering|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Picnic Area|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Veranda|Transfers Available|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Taxi Services|Board Room|Food Facility| Drivers Rest Room|Internet Access Free|Family Room|Party hall|STD / ISD|Baggage Room|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety",31.6993508,New Road,76.51905836,HTLGBO1000015228,Chopra residency,Hotel,Hamirpur,25,Semi Deluxe Room,27,4.5,Himachal Pradesh,dc8e47af7efeaa4b4c7c8c5f98ec11c3
